rules,,support,confidence,lift,count
158,{HP Laptop} => {iMac},0.075546518,0.38920901,1.519599291,743
159,{iMac} => {HP Laptop},0.075546518,0.294958317,1.519599291,743
157,{Lenovo Desktop Computer} => {iMac},0.0587697,0.396978022,1.549932055,578
155,{CYBERPOWER Gamer Desktop} => {iMac},0.056736146,0.308457711,1.204319806,558
154,{Dell Desktop} => {iMac},0.054600915,0.407435508,1.590761502,537
151,{ViewSonic Monitor} => {iMac},0.049415353,0.447926267,1.74885067,486
148,{Acer Desktop} => {iMac},0.03640061,0.357285429,1.394959188,358
145,{Apple MacBook Pro} => {iMac},0.034468734,0.311867525,1.217632835,339
135,{3-Button Mouse} => {iMac},0.03335028,0.374857143,1.463564907,328
133,{Apple Magic Keyboard} => {iMac},0.032333503,0.45106383,1.761100741,318
126,{Microsoft Office Home and Student 2016} => {iMac},0.031011693,0.466360856,1.820825336,305
143,{Samsung Monitor} => {iMac},0.030910015,0.323060574,1.261334158,304
139,{Acer Aspire} => {iMac},0.03070666,0.371007371,1.448534138,302
112,{ASUS 2 Monitor} => {iMac},0.02806304,0.486772487,1.900519018,276
121,{ASUS Monitor} => {iMac},0.027656329,0.499082569,1.948581605,272
122,{Backlit LED Gaming Keyboard} => {iMac},0.027554652,0.34522293,1.347863246,271
130,{HP Monitor} => {iMac},0.026842908,0.371308017,1.449707958,264
114,{Logitech 3-button Mouse} => {iMac},0.025216065,0.388714734,1.517669474,248
123,{Dell Laptop} => {iMac},0.024911032,0.315721649,1.232680597,245
118,{Belkin Mouse Pad} => {iMac},0.024199288,0.413194444,1.613246273,238
521,"{HP Laptop,iMac} => {ViewSonic Monitor}",0.0236909,0.31359354,2.842573699,233
520,"{iMac,ViewSonic Monitor} => {HP Laptop}",0.0236909,0.479423868,2.469949578,233
519,"{HP Laptop,ViewSonic Monitor} => {iMac}",0.0236909,0.493644068,1.927347919,233
562,"{HP Laptop,iMac} => {Lenovo Desktop Computer}",0.023080834,0.30551817,2.063716482,227
561,"{iMac,Lenovo Desktop Computer} => {HP Laptop}",0.023080834,0.392733564,2.02332876,227
560,"{HP Laptop,Lenovo Desktop Computer} => {iMac}",0.023080834,0.5,1.952163557,227
