"","Price","x5StarReviews","x3StarReviews","PositiveServiceReview","NegativeServiceReview","Recommendproduct","ShippingWeight","ProductDepth","ProductWidth","ProductHeight","ProfitMargin","Volume"
"Price",1,-0.142343989943956,-0.15053761263512,-0.1421432911785,-0.0607903734013516,0.0689303570441036,0.416777401464531,0.0109676486021099,0.382397532833337,0.294160596626057,0.0996694054392855,-0.142343989943956
"x5StarReviews",-0.142343989943956,1,0.76337318860758,0.62226021891923,0.309418988539961,0.169541264002013,-0.188023980197234,0.0661052491056123,-0.143436609234817,-0.160004003301731,-0.0134486026028147,1
"x3StarReviews",-0.15053761263512,0.76337318860758,1,0.418517392519018,0.684096618578341,-0.056613257167212,-0.171842041774068,-0.0493765025887718,-0.0188389256166022,-0.0680814056311416,-0.128706922194661,0.76337318860758
"PositiveServiceReview",-0.1421432911785,0.62226021891923,0.418517392519018,1,0.26554974710073,0.232828809972269,-0.270738542826657,-0.0505265915052735,-0.339093728471111,-0.314294444638157,0.423591715887574,0.62226021891923
"NegativeServiceReview",-0.0607903734013516,0.309418988539961,0.684096618578341,0.26554974710073,1,-0.188329241890307,-0.111793874057014,-0.067410452167803,-0.0972071272393274,-0.0207353053733958,0.0420356298466211,0.309418988539961
"Recommendproduct",0.0689303570441036,0.169541264002013,-0.056613257167212,0.232828809972269,-0.188329241890307,1,-0.126043886781709,0.0903582658301239,0.0110910858979208,-0.0437157554884842,0.0957606420308993,0.169541264002013
"ShippingWeight",0.416777401464531,-0.188023980197234,-0.171842041774068,-0.270738542826657,-0.111793874057014,-0.126043886781709,1,0.0655969244631905,0.692473518093736,0.700311108736773,-0.0792153792359578,-0.188023980197234
"ProductDepth",0.0109676486021099,0.0661052491056123,-0.0493765025887718,-0.0505265915052735,-0.067410452167803,0.0903582658301239,0.0655969244631905,1,-0.00600851167701784,0.0254849931137184,-0.207176026280335,0.0661052491056123
"ProductWidth",0.382397532833337,-0.143436609234817,-0.0188389256166022,-0.339093728471111,-0.0972071272393274,0.0110910858979208,0.692473518093736,-0.00600851167701784,1,0.566827112922554,-0.291436396819691,-0.143436609234817
"ProductHeight",0.294160596626057,-0.160004003301731,-0.0680814056311416,-0.314294444638157,-0.0207353053733958,-0.0437157554884842,0.700311108736773,0.0254849931137184,0.566827112922554,1,-0.288106288952952,-0.160004003301731
"ProfitMargin",0.0996694054392855,-0.0134486026028147,-0.128706922194661,0.423591715887574,0.0420356298466211,0.0957606420308993,-0.0792153792359578,-0.207176026280335,-0.291436396819691,-0.288106288952952,1,-0.0134486026028147
"Volume",-0.142343989943956,1,0.76337318860758,0.62226021891923,0.309418988539961,0.169541264002013,-0.188023980197234,0.0661052491056123,-0.143436609234817,-0.160004003301731,-0.0134486026028147,1
